id_census,id_county,id_state,id_rural,id_urban,id_totalpop,id_totalhousing,id_group,id_vehacc,acc_ur_1to10,acc_ur_1to20,acc_tract1,acc_tract10,acc_tract20,acc_store1,acc_store10,acc_store20,idv_income1,idv_income10,idv_income20,idv_inc_acc,idv_child1,idv_child10,idv_child20,idv_senior1,idv_senior10,idv_senior20,nbh_income,nbh_acc1,nbh_acc10,nbh_acc20
53061052605,Snohomish,WA,0,1,5842,2063,0,0,0,0,0,0,0,453.8520887,0,0,41.06987701,0,0,0,164.5952776,0,0,20.27252269,0,0,0,1.816722436,0,0
53061052606,Snohomish,WA,0,1,5125,1743,0,0,1,1,1,0,0,2270.415562,0,0,199.4512622,0,0,0,629.1828865,0,0,201.7390187,0,0,0,7.666293474,0,0
53061052607,Snohomish,WA,0,1,5851,1932,0,0,1,1,1,0,0,2218.674824,0,0,229.0194714,0,0,0,665.3376548,0,0,127.3153913,0,0,0,11.23374582,0,0
53061052701,Snohomish,WA,1,0,1518,564,0,0,0,0,1,0,0,1517.999985,0,0,142.3472518,0,0,0,327.9999968,0,0,183.9999976,0,0,0,11.03718215,0,0
53061052705,Snohomish,WA,0,1,7206,2364,0,0,1,1,1,0,0,4042.963878,0,0,798.3999758,0,0,0,1166.565388,0,0,254.6273454,0,0,0,0,0,0
53061052706,Snohomish,WA,0,1,5311,1767,0,0,1,1,1,0,0,1663.394073,0,0,228.0622029,0,0,0,516.5930834,0,0,91.67071772,0,0,0,6.403067375,0,0
53061052707,Snohomish,WA,0,1,3554,1109,0,0,1,1,1,0,0,3152.692452,0,0,289.6833051,0,0,0,1058.821185,0,0,162.1021103,0,0,0,0,0,0
53061052708,Snohomish,WA,0,1,5344,1689,0,0,1,1,1,0,0,1496.390559,0,0,227.809504,0,0,0,443.9503685,0,0,87.08353602,0,0,0,9.958838928,0,0
53061052709,Snohomish,WA,1,0,3337,1122,0,0,0,0,1,0,0,3334.545915,0,0,488.5853702,0,0,0,953.8741923,0,0,293.9595056,0,0,0,0,0,0
53061052803,Snohomish,WA,0,1,5103,1826,0,0,0,0,0,0,0,329.7091485,0,0,84.74303199,0,0,0,72.38061524,0,0,24.44884004,0,0,0,4.208999612,0,0
53061052804,Snohomish,WA,0,1,6971,2320,0,0,0,0,0,0,0,439.9977957,0,0,45.69652895,0,0,0,137.6319649,0,0,14.43201995,0,0,0,0,0,0
53061052805,Snohomish,WA,0,1,4332,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53061052806,Snohomish,WA,0,1,7049,2312,0,0,1,1,1,0,0,2960.825383,0,0,748.0943442,0,0,0,884.7489389,0,0,233.2375555,0,0,0,13.17436591,0,0
53061052903,Snohomish,WA,0,1,4079,1654,0,0,0,0,0,0,0,0.774627149,0,0,0.328757972,0,0,0,0.063960038,0,0,0.440613598,0,0,1,0.008570859,0,0
53061052904,Snohomish,WA,0,1,5442,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53061052905,Snohomish,WA,0,1,4239,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53061052906,Snohomish,WA,0,1,4445,1645,0,0,1,1,1,0,0,806.7945812,0,0,270.1821081,0,0,0,263.8610016,0,0,58.32030234,0,0,0,18.38116373,0,0
53061053101,Snohomish,WA,1,0,3715,1288,0,0,0,0,1,0,0,2110.249536,0,0,421.5747301,0,0,0,424.0305961,0,0,295.0055367,0,0,1,0,0,0
53061053102,Snohomish,WA,1,0,4634,1758,0,0,0,0,1,0,0,4330.477731,0,0,643.1124899,0,0,0,975.6183472,0,0,531.3411237,0,0,0,92.78976547,0,0
53061053201,Snohomish,WA,1,0,3918,1554,0,1,0,0,1,0,0,3890.726022,0,0,514.3736854,0,0,0,768.6329528,0,0,781.3651361,0,0,0,136.222515,0,0
53061053202,Snohomish,WA,1,0,4167,1543,0,0,0,0,1,0,0,4166.999998,0,0,579.7822453,0,0,0,940.0000015,0,0,479.0000009,0,0,0,27.74553801,0,0
53061053301,Snohomish,WA,0,1,6273,2433,0,1,1,1,1,0,0,1440.414956,0,0,200.5785379,0,0,0,435.8991576,0,0,134.2071026,0,0,0,6.674453461,0,0
53061053302,Snohomish,WA,1,0,5555,2005,0,0,0,0,1,0,0,5120.44693,0,0,814.6723318,0,0,0,1121.99681,0,0,626.7664145,0,0,0,31.26131241,0,0
53061053400,Snohomish,WA,1,0,5528,1992,0,0,0,0,1,0,0,5494.461733,0,0,614.2684044,0,0,0,1232.265386,0,0,644.6433107,0,0,0,51.73084165,0,0
53061053504,Snohomish,WA,0,1,6383,2530,0,0,1,1,1,0,0,672.3731442,0,0,99.03984003,0,0,0,151.6484877,0,0,72.81313201,0,0,1,9.584371809,0,0
53061053505,Snohomish,WA,1,0,4988,1812,0,0,0,0,1,0,0,4839.315446,0,0,842.8014658,0,0,0,1176.435983,0,0,386.756169,0,0,0,51.83021498,0,0
53061053506,Snohomish,WA,1,0,5320,1947,0,0,0,0,1,0,0,5296.793677,383.561143,0,900.4384373,102.3518954,0,0,1180.431964,96.35933408,0,611.9238745,44.21881615,0,0,0,0,0
53061053507,Snohomish,WA,0,1,4726,1591,0,0,1,1,1,0,0,4091.857527,0,0,371.7732396,0,0,0,1252.054828,0,0,394.7137425,0,0,0,0,0,0
53061053508,Snohomish,WA,0,1,3409,1176,0,0,1,1,1,0,0,1743.342472,0,0,342.6208176,0,0,0,504.7068127,0,0,166.8528425,0,0,0,19.47920255,0,0
53061053509,Snohomish,WA,0,1,3909,1462,0,0,1,1,1,0,0,628.2370921,0,0,158.5220486,0,0,0,162.2895413,0,0,73.79328926,0,0,1,18.76203145,0,0
53061053602,Snohomish,WA,1,0,5640,2078,0,0,0,0,1,0,0,4858.497717,52.63819061,0,1257.178695,16.15150014,0,0,1163.436097,11.90282776,0,384.8726389,7.506338796,0,0,49.17562365,0.226821279,0
53061053603,Snohomish,WA,1,0,3848,1436,0,0,0,0,1,0,0,3818.701224,0,0,680.8293262,0,0,0,819.5236268,0,0,405.3415782,0,0,0,0,0,0
53061053604,Snohomish,WA,1,0,4120,1506,0,0,0,0,1,0,0,1277.6172,0,0,157.7194646,0,0,0,288.9998657,0,0,134.8852046,0,0,0,2.190267694,0,0
53061053700,Snohomish,WA,1,0,3065,1267,0,0,0,0,1,0,0,1679.810768,160.0012324,19.76211497,534.0984218,54.48046601,8.729201065,0,349.0631279,35.69717848,5.763949877,243.5878978,22.31292704,2.881974939,1,35.21022066,3.8350145,0.529930518
53061053801,Snohomish,WA,1,0,3639,1436,0,0,1,0,1,1,0,3578.519979,562.7617569,10.05926134,951.9827391,170.3155321,3.04507897,0,773.7167229,70.18419345,1.676543472,349.0712206,77.62966302,0.558847845,0,11.11922127,7.224628092,0.122375442
53061053802,Snohomish,WA,0,1,5394,1896,0,0,1,1,1,0,0,3489.395548,0,0,660.4793112,0,0,0,1072.807123,0,0,226.3390004,0,0,0,11.55973457,0,0
53061053803,Snohomish,WA,0,1,5253,2028,0,0,1,1,1,0,0,5252.999986,6.439048722,0,1335.698667,2.043324764,0,0,1236.999996,2.250501976,0,501.0000014,0.648890361,0,1,21.29288459,0,0
53061940001,Snohomish,WA,1,0,6462,2302,0,0,0,0,1,0,0,5433.030977,0,0,1356.846926,0,0,0,1173.887118,0,0,650.3411175,0,0,0,28.31408668,0,0
53061940002,Snohomish,WA,1,0,4169,1582,0,0,0,0,1,0,0,4168.999955,0,0,1224.934703,0,0,0,1037.999993,0,0,594.9999946,0,0,0,54.56227066,0,0
53061990002,Snohomish,WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53061990100,Snohomish,WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53063000200,Spokane,WA,0,1,4654,1795,0,1,1,1,1,0,0,798.2161194,0,0,401.8588953,0,0,1,221.2969051,0,0,77.85072138,0,0,1,26.02525254,0,0
53063000300,Spokane,WA,0,1,5408,2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063000400,Spokane,WA,0,1,4110,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063000500,Spokane,WA,0,1,3403,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063000600,Spokane,WA,0,1,3014,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063000700,Spokane,WA,0,1,4978,2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063000800,Spokane,WA,0,1,4776,1886,0,0,0,0,0,0,0,31.45400961,0,0,5.469625179,0,0,0,10.53085283,0,0,3.67360452,0,0,0,0.260785506,0,0
53063000900,Spokane,WA,0,1,6066,2413,0,0,0,0,0,0,0,186.8146989,0,0,55.38370288,0,0,0,22.28959709,0,0,64.35554548,0,0,1,2.329663146,0,0
53063001000,Spokane,WA,0,1,5522,2358,0,0,1,1,1,0,0,1575.363788,0,0,450.0996277,0,0,0,323.313523,0,0,255.9684968,0,0,0,5.352178781,0,0
53063001100,Spokane,WA,0,1,3278,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063001200,Spokane,WA,0,1,2216,939,0,0,1,1,1,0,0,536.0162688,0,0,180.450311,0,0,0,129.0606285,0,0,49.14290321,0,0,1,15.00206826,0,0
53063001300,Spokane,WA,0,1,3443,1515,0,0,0,0,0,0,0,36.55981517,0,0,18.00141913,0,0,0,4.889831766,0,0,4.652476057,0,0,1,0.765006015,0,0
53063001400,Spokane,WA,0,1,6244,2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063001500,Spokane,WA,0,1,5587,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063001600,Spokane,WA,0,1,3738,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063001800,Spokane,WA,0,1,2762,1272,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
53063001900,Spokane,WA,0,1,3527,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063002000,Spokane,WA,0,1,4205,1730,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
